frame,X,Y
1,836.2834418231214,488.6418598991457
2,836.2834408250008,488.6418657876889
3,834.8119832341625,491.1845489171913
4,833.058477547689,493.8241679992005
5,831.6164975797827,496.20163985570133
6,830.0888200753496,498.6431448725294
7,830.0888179962855,498.64314435998153
8,828.606706840992,500.79364090222117
9,827.1635234915942,502.6921855253405
10,826.0297227110177,504.4575831477311
11,824.9416518604737,505.57185082353107
12,824.9416510827725,505.5718528538764
13,824.4215583974589,506.9752466853995
14,824.4190715548219,506.9785035642033
15,824.90522123722,506.9865406406567
16,825.9140821915879,506.74881765818674
17,827.3933891353597,505.9434476876321
18,829.2086764044664,504.7535148471763
19,829.2004618523457,504.75124992888027
20,833.3036515025898,501.5374950104069
21,833.3036797127263,501.5375144118281
22,835.4262907213952,499.54375997628904
23,837.6884461959917,497.1841702646977
24,837.6884473051366,497.18416783042613
25,839.8131670874817,494.84955823235873
26,841.9222557876603,492.3733362494532
27,843.9740539068881,489.86886474234814
28,845.6303661031188,487.4906454112698
29,846.9581370945232,485.2357942172331
30,847.8116028197901,483.1927392936269
31,848.033335441448,481.32143609402647
32,847.758806301651,479.87103867840887
33,847.7587931336486,479.87097449645614
34,846.988282460727,478.6415292226866
35,845.5909508788059,477.89814160150223
36,843.9366792162755,477.2570246366991
37,843.9366786746285,477.2570224053395
38,841.9135003362475,477.01191453387213
39,839.5656214450362,476.970621702791
40,837.0445056594103,477.3379700215482
41,834.35819993161,477.7973616391205
42,831.4095519144312,478.4409570755925
43,831.4095564382243,478.4409568669577
44,828.5314266999486,479.162493796133
45,825.6976876242434,480.0571213105176
46,823.0883185520105,480.84996866282427
47,820.8300893441068,481.69790250910194
48,818.9801766069703,482.4408707090049
49,818.98017421063,482.4408693628328
50,817.77718975008,483.1685067995153
51,817.0229214943416,483.7324281712347
52,816.7908807316002,484.2054505919898
53,817.1033923526949,484.5385486286756
54,817.8517139695169,484.8415034950886
55,817.8517173751259,484.8415069707867
56,820.6245011185839,485.1023349264177
57,820.6244997987772,485.1023381149912
58,822.5854498607439,485.10044926862224
59,824.797380063048,485.1035463190007
60,824.7973830699567,485.10354668146203
61,829.918884225111,485.0065907729179
62,829.9188836502225,485.00659074968894
63,832.4571918851046,485.0892825954643
64,835.0207485108361,485.1544924075716
65,837.2256694272035,485.4447365731424
66,837.2256712097283,485.4447383353128
67,839.1469362831858,485.8245692417074
68,840.6638881846403,486.5191651287024
69,841.7978031292237,487.31654514882405
70,842.5259470716447,488.3576017415321
71,842.5259521830366,488.35759844850753
