frame,X,Y
1,634.9118055951228,157.87626021994294
2,634.9118026161351,157.8762585114831
3,635.4102642303714,159.26449734970325
4,636.0337441307103,160.65998493498157
5,636.795576404955,161.88767451400415
6,637.565088554735,163.07045997774463
7,637.565091699711,163.0704749394022
8,638.3131259793587,164.10360387352736
9,638.9310194564573,165.0788420087704
10,639.4260770133338,165.9033259577336
11,639.791795374735,166.45386447511243
12,639.7941523824729,166.44789907840615
13,640.69077541358,167.26551700269948
14,640.6945902989751,167.2560227174303
15,641.2484992846527,167.44704842744594
16,641.7993629519739,167.3873751767217
17,642.3602012801834,167.11561371551164
18,642.8836899104288,166.79966591600882
19,642.8836409891425,166.7996390651081
20,643.5277981545603,165.49715588230532
21,643.5277780593241,165.49716956227212
22,643.6096306528365,164.61191156362622
23,643.6096878181202,163.61993398857075
24,643.6096837256533,163.61993820455976
25,643.5190039741334,162.50839030647577
26,643.4745777596762,161.2512364592332
27,643.4348108047858,160.01597317309285
28,643.3948818424101,158.61633693854876
29,643.2598507728286,157.17327792555673
30,643.1075816858437,155.7552893895289
31,642.6558253797647,154.2244616089055
32,642.2107304183705,152.77685277535917
33,642.2107294927675,152.77684450180038
34,641.4841067683508,151.29564547553127
35,640.892366582816,149.81839251568059
36,640.0944988791214,148.55251606109533
37,640.0945001039023,148.55251599541774
38,639.455672958151,147.30653262862742
39,638.8054458466197,146.10821965700444
40,638.2086660451542,145.05857821966754
41,637.6152090751183,144.10175348593953
42,636.9500795123582,143.32663904630064
43,636.9500818727481,143.32664229941838
44,636.201231729681,142.7028112050472
45,635.3935467724856,142.22736579499258
46,634.6565400806329,141.90541497430667
47,634.0106727638034,141.7965084050027
48,633.3900986695525,141.72510972582472
49,633.3899349450661,141.72489912103123
50,632.8967108798001,141.8284883865112
51,632.6079409427626,142.2183134846369
52,632.3787096544253,142.68189861274723
53,632.2431580867727,143.32528925084839
54,632.140761018722,144.0874810257554
55,632.1408097442513,144.08747453569464
56,631.9143113557496,146.04275862068965
57,631.9143130470488,146.04275950607484
58,631.8964136717768,147.1886433904396
59,632.0869406758928,148.38328191567504
60,632.086940895173,148.3832824340997
61,632.7651525892319,151.0481870483103
62,632.7636960536215,151.04614636102983
63,633.2340772565067,152.40084542271134
64,633.7429159203115,153.90972663064395
65,634.3915041396353,155.33646844508772
66,634.3915071289316,155.33647032841438
67,634.9302865829371,156.7312123442314
68,635.5018778718135,158.2079574479818
69,635.9900815186309,159.5218315987417
70,636.5403584284488,160.83484937950485
71,636.5403608353733,160.8348506252289
72,637.1772245829409,162.01394713329665
73,637.8828785913521,163.112937610958
74,638.5701934069817,164.09274229577855
75,639.2905831978002,164.98100481445653
76,639.9562632304983,165.70873680876042
77,640.5528502390689,166.3232553092505
78,640.5484857884052,166.32993642948955
79,641.0012550876783,166.70484544612168
80,641.4174627470285,166.98408688258715
81,641.7859181810638,167.12459620479078
82,642.0974769132449,167.0970149810267
83,642.1518123721556,167.08814146527357
84,642.8214160746845,166.49857768888856
85,642.8195981586937,166.49626560595496
86,643.0456151235818,165.87794400737047
87,643.2950193109762,165.28474359795496
88,643.4577059688971,164.39845616384954
89,643.4599060545328,163.40789403024033
90,643.4599072279765,163.40789108883686
91,643.3858879092636,162.29112322099624
92,643.2267971049274,161.0903181883687
93,643.0489853268858,159.7377215736868
94,642.8414611011692,158.3501700729026
95,642.841459003622,158.35016670717496
96,642.3214170418178,155.50814595665705
97,642.3214180858243,155.50814471114907
98,642.0516101220369,153.97900744565345
99,641.6339781680307,152.46135990815708
100,641.1524020391275,151.08503166307258
101,640.6371549920841,149.68083680632537
102,640.6371560892985,149.68083658108543
103,639.35553048837,147.0300701002461
104,639.3555295856222,147.03006974079074
105,638.7825203252032,145.84006865684614
106,638.1518761273277,144.8169999937754
107,637.5456009456506,143.8842726120312
108,636.9872858230057,143.12231763370727
109,636.9872846533243,143.12231639745133
110,636.4220158543185,142.45043509699298
111,635.7782387266029,141.9810792267373
112,635.1349971891749,141.72101754069712
113,634.5313125501517,141.53762922398155
114,634.5260138013127,141.5535514188955
115,633.956560830737,141.57461236694354
116,633.5441353967266,141.91845441293847
117,633.0854571361693,142.11197580785722
118,632.7248934743856,142.7286630463918
119,632.724891791656,142.72865939542555
120,632.3314629220213,144.24762851801978
121,632.2827128277538,144.35892024768958
122,632.1346585075831,145.26118580066063
123,632.1351751915263,146.3807920945051
124,632.0528366893806,147.53637482577787
125,632.2247379708411,148.84606888866224
126,632.2247370484258,148.84606955942053
127,632.3493500635793,150.10119253856612
128,632.6342778261014,151.60796436844385
129,633.0136860237532,153.03233123722254
130,633.4885991625184,154.4644889328073
131,634.0334373247066,155.90875723680514
132,634.6651587275366,157.34462386027738
133,634.6637089663549,157.34592456393804
134,635.2819385165899,158.65199972877372
135,635.9064960138794,160.0203768808192
136,636.5924081416798,161.27804472922952
137,637.2563898263716,162.46717000011228
138,637.2563664151792,162.46718605547716
139,638.690145579554,164.38533040896408
140,638.6901466087822,164.3853313671709
141,639.3860521738244,165.10789821464192
142,640.050206421582,165.79570537487743
143,640.7382730351096,166.3853723630221
144,641.3209978380982,166.71936377313617
145,641.3259303950695,166.71088565284086
146,641.9291007414178,166.9283069782235
147,642.4274877403171,166.95313925370775
148,642.7654831553909,166.7626275707149
149,643.0141392388176,166.53699648482944
150,643.01420450936,166.53695787027002
151,643.4895184968077,165.4962993955138
152,643.4895210132865,165.49630188415318
153,643.5859042313801,164.74262324622214
154,643.686664172114,163.89815724617839
155,643.6866631439493,163.89815949475937
156,643.6112859187382,162.93306053942288
157,643.5156826018043,161.84920119407144
158,643.2757833113038,160.66717093985008
159,642.9861827890571,159.40211730955127
160,642.7275563731879,158.0687506530858
161,642.7270507559163,158.06904104477613
162,642.3685769744149,156.71862278859194
163,641.85775703339,155.205678806505
164,641.3276680802891,153.74772671848328
165,640.8922194562899,152.43430090820985
166,640.8922184645533,152.43430207507228
167,640.552060168554,150.94450791446232
168,640.0751047628032,149.56345700085345
169,639.4927321823195,148.23911421047424
170,638.7967937740423,147.0883306057081
171,638.1107751093502,145.8852052630145
172,637.4283501412988,144.90892122793034
173,637.4284366840648,144.9089957847756
174,636.9289622116552,144.03395401687257
175,636.5284987903912,143.221634711584
176,636.0269501866536,142.5925966795718
177,635.5220851495882,142.11030258951845
178,635.5220839053536,142.11028503019753
179,634.9865719079651,141.84201326489875
180,634.3804919570225,141.65855392926693
181,633.9210845324924,141.84289035981837
182,633.396464582231,141.98613913781045
183,633.073108703031,142.34008634630283
184,632.8809740422282,142.93913635265142
185,632.880085374176,142.9394636183226
186,632.8505491171807,143.63173072041428
187,632.8325086817136,144.37509740635164
188,632.8751824111736,145.46719439600898
189,632.6859951408329,146.55566300685297
190,632.6859961789905,146.55566188197767
191,632.4998292406306,149.12889747292328
192,632.4998292406306,149.12889747292328
193,632.422641308654,150.36618726033876
194,632.6568492906538,151.83504910847017
195,633.2464119536849,153.44221366833816
196,633.8631474407945,154.75182563123627
197,633.8631482516574,154.75182782095683
198,634.5860126500149,156.21283437295617
199,635.300157950673,157.89225983054422
200,635.7340977413944,159.07027456404313
201,635.9910569395653,160.4440465510242
202,636.2197592834389,161.75577724680397
203,636.2197528762933,161.75573999215194
204,636.5281762124894,162.81935692116699
205,637.2156070363487,164.04558626755738
206,637.875633055191,164.74947076800754
207,638.8438316326531,165.59367421446234
208,639.8996624743229,166.23767481002946
209,639.899664508969,166.23767095569352
210,640.7983256302681,166.6583691348665
211,641.5695754043451,167.07349169293263
212,641.9880283077001,167.07816171491373
213,642.3699588051081,167.1063227587434
214,642.3879619498188,167.10477578090354
215,642.5023059586072,166.96066474499082
216,642.6588179414956,166.50454545454545
217,642.871387184342,166.03607234028854
218,643.1690127154233,165.40348182826872
219,643.1695360165885,165.40361908946124
220,644.0045010275047,163.65066392439277
221,644.00450038911,163.65066429886056
222,644.1576125505376,162.64819811499717
223,644.1608542502416,161.48261878188674
224,643.8404364566674,160.22713187191553
225,643.502073681326,158.97866169981376
226,643.0755009369128,157.62743938277015
227,643.0755013208377,157.6274385893258
228,642.6727870050678,156.05318228080503
229,642.3068934424668,154.8301613843769
230,641.8916068259733,153.42515826118364
231,641.8916088719731,153.42516406219627
232,640.8031127608841,150.70288365198022
233,640.8031132611178,150.7028848756335
234,640.0322032608005,149.26686501886232
235,639.3940083600701,148.0498618762217
236,638.682936093378,146.8732561174146
237,638.105576871157,145.7758480874113
238,638.1055738008292,145.7758473153319
239,637.5034915504734,144.83849174757222
240,637.0054163425308,144.03371190250212
241,636.4179716046185,143.33934874046625
242,635.9080407004977,142.71503920108842
243,635.1941187865688,142.3769509228308
244,634.4091201105083,142.01808315586604
245,634.4091391562586,142.0178909394193
246,633.819897449963,142.0350084386775
247,633.3485901559503,142.08277718217298
248,633.0744984517313,142.26350757721679
249,633.0593058383841,142.71232096924325
250,633.1128295659272,143.2093863931286
251,633.1563249674717,143.22130865839353
252,633.2576233976682,143.939468421151
253,633.3500012165248,144.75925339747144
254,633.279801303421,145.77272568111388
255,633.1429427568729,146.88027093685167
256,633.1428927845444,146.88025744219527
257,632.9635708965124,148.13427079298842
258,633.0143626994854,149.3759290786553
259,633.1095226967639,150.69219306827355
260,633.4989474438104,152.1914317186987
261,633.9580400531996,153.58357148956046
262,634.5068738654661,155.10752868776203
263,634.5064084160446,155.1071410728471
264,635.1625998591868,156.63841852356904
265,635.7837406515401,157.96653009205096
